Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2024,San Bernardino,CA,Passenger,3,1,4,288,292,1.37
October 31 2017,Tulare,CA,Passenger,1,0,1,193,194,0.52
December 31 2019,Placer,CA,Passenger,1,0,1,106,107,0.93
August 31 2019,Orange,CA,Passenger,6,3,9,551,560,1.61
August 31 2019,Shasta,CA,Passenger,1,0,1,41,42,2.38
October 31 2024,San Diego,CA,Passenger,23,8,31,1706,1737,1.78
July 31 2020,Kern,CA,Passenger,0,1,1,222,223,0.45
May 31 2017,Ventura,CA,Passenger,0,1,1,375,376,0.27
May 31 2024,Fresno,CA,Passenger,0,1,1,126,127,0.79
June 30 2024,San Luis Obispo,CA,Passenger,0,1,1,35,36,2.78
December 31 2021,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
March 31 2023,Kern,CA,Passenger,1,1,2,204,206,0.97
May 31 2018,San Francisco,CA,Passenger,0,2,2,131,133,1.5
November 30 2019,Orange,CA,Passenger,7,2,9,535,544,1.65
June 30 2022,San Joaquin,CA,Passenger,0,1,1,103,104,0.96
March 31 2020,Placer,CA,Passenger,2,0,2,103,105,1.9
November 30 2019,Kern,CA,Passenger,0,1,1,222,223,0.45
December 31 2020,Kern,CA,Passenger,0,1,1,217,218,0.46
December 31 2017,Alameda,CA,Passenger,0,1,1,362,363,0.28
March 31 2023,Yolo,CA,Passenger,2,0,2,29,31,6.45
January 31 2020,Santa Cruz,CA,Passenger,1,0,1,37,38,2.63
November 30 2024,Contra Costa,CA,Passenger,2,1,3,108,111,2.7
September 30 2022,Monterey,CA,Passenger,0,3,3,139,142,2.11
December 31 2022,Shasta,CA,Passenger,1,0,1,30,31,3.23
November 30 2021,Placer,CA,Passenger,2,0,2,84,86,2.33
February 28 2021,Sacramento,CA,Passenger,2,1,3,268,271,1.11
May 31 2022,San Luis Obispo,CA,Passenger,2,1,3,65,68,4.41
September 30 2023,Solano,CA,Passenger,5,0,5,141,146,3.42
February 28 2021,San Francisco,CA,Passenger,2,2,4,104,108,3.7
January 31 2024,Orange,CA,Passenger,7,2,9,320,329,2.74
November 30 2023,Kings,CA,Passenger,5,2,7,256,263,2.66
January 31 2017,San Diego,CA,Passenger,4,2,6,2896,2902,0.21
January 31 2017,Monterey,CA,Passenger,0,1,1,239,240,0.42
May 31 2019,San Diego,CA,Passenger,11,3,14,2673,2687,0.52
February 29 2024,Monterey,CA,Truck,1,0,1,29,30,3.33
September 30 2018,Ventura,CA,Passenger,0,2,2,330,332,0.6
December 31 2017,Riverside,CA,Passenger,1,2,3,754,757,0.4
January 31 2024,Marin,CA,Truck,1,0,1,6,7,14.29
October 31 2024,Fresno,CA,Passenger,0,1,1,107,108,0.93
February 28 2019,San Francisco,CA,Passenger,2,2,4,118,122,3.28
August 31 2018,San Mateo,CA,Passenger,1,1,2,139,141,1.42
May 31 2023,Yolo,CA,Passenger,2,0,2,26,28,7.14
November 30 2017,Riverside,CA,Passenger,1,2,3,762,765,0.39
August 31 2024,San Diego,CA,Passenger,21,7,28,1795,1823,1.54
June 30 2022,San Luis Obispo,CA,Passenger,2,1,3,64,67,4.48
October 31 2019,Placer,CA,Passenger,1,0,1,105,106,0.94
July 31 2022,San Mateo,CA,Passenger,3,0,3,98,101,2.97
July 31 2019,Monterey,CA,Passenger,0,1,1,195,196,0.51
December 31 2019,San Mateo,CA,Passenger,1,1,2,133,135,1.48
July 31 2021,Orange,CA,Passenger,6,3,9,454,463,1.94
August 31 2021,Santa Cruz,CA,Passenger,1,0,1,29,30,3.33
February 28 2018,Riverside,CA,Passenger,2,2,4,738,742,0.54
October 31 2023,Los Angeles,CA,Passenger,11,3,14,650,664,2.11
May 31 2022,Solano,CA,Passenger,1,0,1,171,172,0.58
March 31 2024,Contra Costa,CA,Passenger,2,1,3,145,148,2.03
September 30 2020,El Dorado,CA,Passenger,1,0,1,37,38,2.63
March 31 2019,Santa Cruz,CA,Passenger,1,0,1,43,44,2.27
January 31 2023,Shasta,CA,Passenger,1,0,1,28,29,3.45
October 31 2018,San Francisco,CA,Passenger,1,2,3,118,121,2.48
November 30 2019,Ventura,CA,Passenger,0,2,2,321,323,0.62
December 31 2023,Kern,CA,Passenger,1,1,2,167,169,1.18
January 31 2023,San Joaquin,CA,Passenger,0,1,1,95,96,1.04
June 30 2021,Orange,CA,Passenger,5,3,8,460,468,1.71
April 30 2018,Orange,CA,Passenger,3,1,4,592,596,0.67
June 30 2022,Riverside,CA,Passenger,10,0,10,520,530,1.89
September 30 2022,El Dorado,CA,Passenger,1,0,1,26,27,3.7
November 30 2023,Shasta,CA,Passenger,1,0,1,28,29,3.45
April 30 2020,San Francisco,CA,Passenger,2,2,4,105,109,3.67
May 31 2023,Santa Clara,CA,Passenger,15,4,19,220,239,7.95
March 31 2017,San Diego,CA,Passenger,5,2,7,2808,2815,0.25
February 28 2021,Monterey,CA,Passenger,0,2,2,162,164,1.22
June 30 2024,Marin,CA,Truck,1,0,1,5,6,16.67
June 30 2017,Alameda,CA,Passenger,1,1,2,371,373,0.54
October 31 2017,Riverside,CA,Passenger,1,2,3,762,765,0.39
December 31 2021,Santa Clara,CA,Passenger,12,3,15,277,292,5.14
October 31 2023,San Francisco,CA,Passenger,3,0,3,63,66,4.55
September 30 2021,San Bernardino,CA,Passenger,1,0,1,399,400,0.25
July 31 2023,Monterey,CA,Passenger,0,3,3,127,130,2.31
July 31 2022,Kern,CA,Passenger,0,1,1,199,200,0.5
December 31 2022,Riverside,CA,Passenger,9,0,9,481,490,1.84
October 31 2022,Contra Costa,CA,Passenger,0,3,3,210,213,1.41
April 30 2021,San Diego,CA,Passenger,17,4,21,2672,2693,0.78
July 31 2024,Los Angeles,CA,Passenger,10,2,12,510,522,2.3
April 30 2018,Santa Clara,CA,Passenger,6,1,7,394,401,1.75
January 31 2022,Santa Cruz,CA,Passenger,1,0,1,28,29,3.45
February 28 2019,San Diego,CA,Passenger,10,3,13,2636,2649,0.49
November 30 2018,Contra Costa,CA,Passenger,0,1,1,405,406,0.25
January 31 2020,Los Angeles,CA,Passenger,7,11,18,1105,1123,1.6
March 31 2021,Alameda,CA,Passenger,4,0,4,273,277,1.44
March 31 2021,San Mateo,CA,Passenger,2,1,3,121,124,2.42
August 31 2024,San Bernardino,CA,Passenger,2,1,3,248,251,1.2
September 30 2017,Tulare,CA,Passenger,1,0,1,197,198,0.51
September 30 2023,Monterey,CA,Truck,1,0,1,28,29,3.45
August 31 2022,Placer,CA,Passenger,2,0,2,77,79,2.53
January 31 2023,Placer,CA,Passenger,2,0,2,71,73,2.74
July 31 2019,Orange,CA,Passenger,6,1,7,546,553,1.27
March 31 2024,Marin,CA,Truck,1,0,1,5,6,16.67
September 30 2019,Kern,CA,Passenger,0,1,1,216,217,0.46
May 31 2023,San Mateo,CA,Passenger,3,0,3,82,85,3.53
October 31 2022,Sonoma,CA,Passenger,2,1,3,86,89,3.37
January 31 2018,Santa Clara,CA,Passenger,7,1,8,400,408,1.96
April 30 2024,Santa Cruz,CA,Passenger,1,0,1,20,21,4.76
January 31 2024,San Francisco,CA,Passenger,3,0,3,59,62,4.84
April 30 2022,San Francisco,CA,Passenger,2,0,2,99,101,1.98
June 30 2023,San Joaquin,CA,Passenger,0,1,1,86,87,1.15
